# Time(ps)  PE(kcal/mol)  KE(kcal/mol)  Total(kcal/mol)  T(K)
    0.034000   -80.678894    21.302015   -59.376879  7147.127922
    0.035000   -82.513903    23.137025   -59.376878  7762.799898
    0.036000   -84.448008    25.071130   -59.376877  8411.719611
    0.037000   -87.564076    27.026274   -60.537802  9067.697888
    0.038000   -94.191477    28.997829   -65.193648  9729.182796
    0.039000   -95.356651    30.163002   -65.193649 10120.114800
    0.040000   -96.482176    31.288527   -65.193649 10497.744212
    0.041000   -97.566619    32.372970   -65.193649 10861.590360
    0.042000   -98.609150    33.415502   -65.193648 11211.374660
    0.043000   -99.609464    34.415817   -65.193647 11546.994389
    0.044000  -100.567701    35.374055   -65.193646 11868.496848
    0.045000  -101.484376    36.290731   -65.193645 12176.054739
    0.046000  -102.360309    37.166666   -65.193643 12469.943296
    0.047000  -103.196565    38.002923   -65.193642 12750.519505
    0.048000  -103.994396    38.800756   -65.193640 13018.203566
    0.049000  -104.755194    39.561555   -65.193639 13273.462643
    0.050000  -105.480450    40.286813   -65.193637 13516.796832
    0.051000  -106.171717    40.978081   -65.193635 13748.727223
    0.052000  -106.830581    41.636947   -65.193634 13969.785898
    0.053000  -107.458635    42.265003   -65.193632 14180.507680
    0.054000  -108.057463    42.863833   -65.193631 14381.423440
    0.055000  -108.628619    43.434990   -65.193629 14573.054774
    0.056000  -109.173617    43.979989   -65.193628 14755.909867
    0.057000  -109.693923    44.500297   -65.193626 14930.480376
    0.058000  -110.190946    44.997321   -65.193625 15097.239177
    0.059000  -110.666036    45.472412   -65.193624 15256.638830
    0.060000  -111.120477    45.926854   -65.193623 15409.110650
    0.061000  -111.555491    46.361869   -65.193622 15555.064260
    0.062000  -111.972233    46.778612   -65.193621 15694.887540
    0.063000  -112.371796    47.178176   -65.193620 15828.946891
    0.064000  -112.755209    47.561590   -65.193619 15957.587733
    0.065000  -113.123441    47.929823   -65.193618 16081.135191
    0.066000  -113.477404    48.283787   -65.193617 16199.894908
    0.067000  -113.817952    48.624336   -65.193617 16314.153953
    0.068000  -114.145890    48.952274   -65.193616 16424.181782
    0.069000  -114.461969    49.268354   -65.193615 16530.231231
    0.070000  -114.766899    49.573284   -65.193615 16632.539517
    0.071000  -115.061341    49.867727   -65.193614 16731.329225
    0.072000  -115.345919    50.152305   -65.193614 16826.809281
    0.073000  -115.621217    50.427604   -65.193613 16919.175888
    0.074000  -115.887785    50.694172   -65.193613 17008.613427
    0.075000  -116.146140    50.952528   -65.193612 17095.295312
    0.076000  -116.396768    51.203156   -65.193612 17179.384805
    0.077000  -116.640129    51.446517   -65.193611 17261.035785
    0.078000  -116.876654    51.683043   -65.193611 17340.393465
    0.079000  -117.106753    51.913142   -65.193611 17417.595074
    0.080000  -117.330813    52.137202   -65.193610 17492.770490
    0.081000  -117.549201    52.355591   -65.193610 17566.042834
    0.082000  -117.762265    52.568655   -65.193610 17637.529027
    0.083000  -117.970337    52.776728   -65.193610 17707.340308
    0.084000  -118.173734    52.980124   -65.193609 17775.582727
    0.085000  -118.372756    53.179147   -65.193609 17842.357599
    0.086000  -118.567693    53.374084   -65.193609 17907.761938
    0.087000  -118.758823    53.565215   -65.193609 17971.888861
    0.088000  -118.946413    53.752805   -65.193608 18034.827975
    0.089000  -119.130720    53.937112   -65.193608 18096.665742
    0.090000  -119.311994    54.118387   -65.193608 18157.485833
    0.091000  -119.490477    54.296870   -65.193608 18217.369456
    0.092000  -119.666405    54.472797   -65.193608 18276.395687
    0.093000  -119.840007    54.646400   -65.193607 18334.641784
    0.094000  -120.011510    54.817903   -65.193607 18392.183492
    0.095000  -120.181136    54.987529   -65.193607 18449.095349
    0.096000  -120.349104    55.155497   -65.193607 18505.450991
    0.097000  -120.515631    55.322025   -65.193607 18561.323447
    0.098000  -120.680936    55.487329   -65.193606 18616.785451
    0.099000  -120.845233    55.651627   -65.193606 18671.909751
