# Time(ps)  PE(kcal/mol)  KE(kcal/mol)  Total(kcal/mol)  T(K)
    0.000000   -59.377007     0.000085   -59.376922     0.028560
    0.001000   -59.387234     0.010313   -59.376922     3.460013
    0.002000   -59.414631     0.037709   -59.376921    12.651936
    0.003000   -59.459533     0.082612   -59.376921    27.717420
    0.004000   -59.522491     0.145570   -59.376921    48.840958
    0.005000   -59.604271     0.227351   -59.376920    76.279419
    0.006000   -59.705857     0.328938   -59.376919   110.363296
    0.007000   -59.828459     0.451540   -59.376918   151.498136
    0.008000   -59.973512     0.596595   -59.376917   200.166009
    0.009000   -60.142687     0.765771   -59.376916   256.926873
    0.010000   -60.337887     0.960972   -59.376915   322.419635
    0.011000   -60.561253     1.184340   -59.376913   397.362700
    0.012000   -60.815163     1.438251   -59.376912   482.553766
    0.013000   -61.102228     1.725318   -59.376910   578.868613
    0.014000   -61.425283     2.048374   -59.376908   687.258637
    0.015000   -61.787376     2.410470   -59.376906   808.746866
    0.016000   -62.191755     2.814851   -59.376904   944.422272
    0.017000   -62.641838     3.264936   -59.376902  1095.432191
    0.018000   -63.141190     3.764290   -59.376900  1262.972777
    0.019000   -63.693489     4.316591   -59.376898  1448.277501
    0.020000   -64.302481     4.925586   -59.376896  1652.603838
    0.021000   -64.971943     5.595049   -59.376894  1877.218407
    0.022000   -65.705629     6.328737   -59.376892  2123.381011
    0.023000   -66.507224     7.130334   -59.376890  2392.328168
    0.024000   -67.380296     8.003408   -59.376888  2685.256843
    0.025000   -68.328250     8.951363   -59.376886  3003.309270
    0.026000   -69.354287     9.977402   -59.376885  3347.559751
    0.027000   -70.461376    11.084493   -59.376884  3719.004412
    0.028000   -71.652235    12.275353   -59.376883  4118.554786
    0.029000   -72.929323    13.552441   -59.376882  4547.036015
    0.030000   -74.294851    14.917970   -59.376881  5005.190251
    0.031000   -75.750811    16.373930   -59.376881  5493.685566
    0.032000   -77.299015    17.922135   -59.376880  6013.130436
    0.033000   -78.941160    19.564281   -59.376880  6564.093480
