# alpha time_ps distance_A F_inter_unscaled F_inter_scaled F_intra
1.0000 0.025000 0.001220 0.022832 0.022832 0.000293
1.0000 0.050000 0.002361 0.022511 0.022511 0.000572
1.0000 0.075000 0.003424 0.022201 0.022201 0.000833
1.0000 0.100000 0.004417 0.022051 0.022051 0.001074
1.0000 0.125000 0.005346 0.022102 0.022102 0.001297
1.0000 0.150000 0.006207 0.022335 0.022335 0.001501
1.0000 0.175000 0.007015 0.022642 0.022642 0.001673
1.0000 0.200000 0.007766 0.022960 0.022960 0.001804
1.0000 0.225000 0.008462 0.023218 0.023218 0.001912
1.0000 0.250000 0.009130 0.023376 0.023376 0.002002
1.0000 0.275000 0.009770 0.023409 0.023409 0.002093
1.0000 0.300000 0.010404 0.023285 0.023285 0.002211
1.0000 0.325000 0.011065 0.023024 0.023024 0.002388
1.0000 0.350000 0.011759 0.022686 0.022686 0.002636
1.0000 0.375000 0.012477 0.022307 0.022307 0.002960
1.0000 0.400000 0.013250 0.021886 0.021886 0.003364
1.0000 0.425000 0.014089 0.021476 0.021476 0.003844
1.0000 0.450000 0.014989 0.021034 0.021034 0.004378
1.0000 0.475000 0.015981 0.020426 0.020426 0.004939
1.0000 0.500000 0.017079 0.019725 0.019725 0.005536
1.0000 0.525000 0.018285 0.018886 0.018886 0.006150
1.0000 0.550000 0.019573 0.017922 0.017922 0.006764
1.0000 0.575000 0.020954 0.016836 0.016836 0.007340
1.0000 0.600000 0.022438 0.015591 0.015591 0.007819
1.0000 0.625000 0.024026 0.014276 0.014276 0.008207
1.0000 0.650000 0.025719 0.012979 0.012979 0.008502
1.0000 0.675000 0.027531 0.011715 0.011715 0.008701
1.0000 0.700000 0.029432 0.010334 0.010334 0.008734
1.0000 0.725000 0.031418 0.008699 0.008699 0.008584
1.0000 0.750000 0.033465 0.006833 0.006833 0.008270
1.0000 0.775000 0.035587 0.004998 0.004998 0.007867
1.0000 0.800000 0.037767 0.003512 0.003512 0.007466
1.0000 0.825000 0.040007 0.002280 0.002280 0.007074
1.0000 0.850000 0.042293 0.001082 0.001082 0.006631
1.0000 0.875000 0.044619 0.000318 0.000318 0.006010
1.0000 0.900000 0.046976 0.002021 0.002021 0.005165
1.0000 0.925000 0.049331 0.003811 0.003811 0.004206
1.0000 0.950000 0.051687 0.005173 0.005173 0.003414
1.0000 0.975000 0.054068 0.005820 0.005820 0.002879
1.0000 1.000000 0.056426 0.006160 0.006160 0.002479
1.0000 1.025000 0.058765 0.006681 0.006681 0.002063
1.0000 1.050000 0.061117 0.007262 0.007262 0.001799
1.0000 1.075000 0.063478 0.007628 0.007628 0.001728
1.0000 1.100000 0.065824 0.007760 0.007760 0.001720
1.0000 1.125000 0.068118 0.007982 0.007982 0.001786
1.0000 1.150000 0.070385 0.008429 0.008429 0.002035
1.0000 1.175000 0.072639 0.008919 0.008919 0.002450
1.0000 1.200000 0.074857 0.009127 0.009127 0.002852
1.0000 1.225000 0.077006 0.008988 0.008988 0.003136
1.0000 1.250000 0.079087 0.008639 0.008639 0.003313
1.0000 1.275000 0.081131 0.008359 0.008359 0.003467
1.0000 1.300000 0.083132 0.008311 0.008311 0.003664
1.0000 1.325000 0.085100 0.008482 0.008482 0.003931
1.0000 1.350000 0.087033 0.008728 0.008728 0.004220
1.0000 1.375000 0.088923 0.008736 0.008736 0.004391
1.0000 1.400000 0.090751 0.008296 0.008296 0.004357
1.0000 1.425000 0.092521 0.007494 0.007494 0.004166
