# alpha time_ps distance_A F_inter_unscaled F_inter_scaled F_intra
1.0000 1.450000 0.094226 0.006627 0.006627 0.003967
1.0000 1.475000 0.095888 0.005920 0.005920 0.003862
1.0000 1.500000 0.097527 0.005440 0.005440 0.003860
1.0000 1.525000 0.099138 0.005141 0.005141 0.003923
1.0000 1.550000 0.100724 0.004880 0.004880 0.003986
1.0000 1.575000 0.102253 0.004574 0.004574 0.004002
1.0000 1.600000 0.103743 0.004252 0.004252 0.003974
1.0000 1.625000 0.105230 0.003924 0.003924 0.003910
1.0000 1.650000 0.106696 0.003622 0.003622 0.003816
1.0000 1.675000 0.108139 0.003376 0.003376 0.003707
1.0000 1.700000 0.109593 0.003139 0.003139 0.003571
1.0000 1.725000 0.111044 0.002962 0.002962 0.003424
1.0000 1.750000 0.112493 0.002845 0.002845 0.003275
1.0000 1.775000 0.113919 0.002766 0.002766 0.003134
1.0000 1.800000 0.115317 0.002724 0.002724 0.003008
1.0000 1.825000 0.116691 0.002712 0.002712 0.002904
1.0000 1.850000 0.118040 0.002736 0.002736 0.002829
1.0000 1.875000 0.119392 0.002806 0.002806 0.002798
1.0000 1.900000 0.120737 0.002869 0.002869 0.002805
1.0000 1.925000 0.122074 0.003023 0.003023 0.002868
1.0000 1.950000 0.123398 0.003279 0.003279 0.002972
1.0000 1.975000 0.124689 0.003601 0.003601 0.003093
1.0000 2.000000 0.125960 0.003914 0.003914 0.003207
1.0000 2.025000 0.127230 0.004206 0.004206 0.003312
1.0000 2.050000 0.128489 0.004426 0.004426 0.003382
1.0000 2.075000 0.129737 0.004581 0.004581 0.003415
1.0000 2.100000 0.130979 0.004645 0.004645 0.003402
1.0000 2.125000 0.132219 0.004646 0.004646 0.003368
1.0000 2.150000 0.133437 0.004577 0.004577 0.003323
1.0000 2.175000 0.134628 0.004448 0.004448 0.003282
1.0000 2.200000 0.135808 0.004301 0.004301 0.003269
1.0000 2.225000 0.136993 0.004187 0.004187 0.003303
1.0000 2.250000 0.138175 0.004103 0.004103 0.003383
1.0000 2.275000 0.139358 0.004021 0.004021 0.003495
1.0000 2.300000 0.140564 0.003900 0.003900 0.003614
1.0000 2.325000 0.141775 0.003766 0.003766 0.003730
1.0000 2.350000 0.142992 0.003653 0.003653 0.003829
1.0000 2.375000 0.144224 0.003577 0.003577 0.003895
1.0000 2.400000 0.145438 0.003590 0.003590 0.003933
1.0000 2.425000 0.146644 0.003708 0.003708 0.003949
1.0000 2.450000 0.147878 0.003885 0.003885 0.003937
1.0000 2.475000 0.149110 0.004045 0.004045 0.003900
1.0000 2.500000 0.150321 0.004138 0.004138 0.003842
2.0000 0.025000 0.001748 0.021965 0.043930 0.000312
2.0000 0.050000 0.003682 0.020762 0.041524 0.000575
2.0000 0.075000 0.005777 0.019614 0.039228 0.000792
2.0000 0.100000 0.008037 0.018652 0.037305 0.000981
2.0000 0.125000 0.010449 0.017881 0.035763 0.001157
2.0000 0.150000 0.013033 0.017246 0.034492 0.001330
2.0000 0.175000 0.015782 0.016680 0.033359 0.001499
2.0000 0.200000 0.018683 0.016130 0.032260 0.001667
2.0000 0.225000 0.021727 0.015547 0.031095 0.001828
2.0000 0.250000 0.024945 0.014910 0.029819 0.001981
2.0000 0.275000 0.028300 0.014251 0.028502 0.002131
2.0000 0.300000 0.031792 0.013563 0.027126 0.002273
2.0000 0.325000 0.035421 0.012845 0.025689 0.002399
2.0000 0.350000 0.039186 0.012131 0.024262 0.002526
2.0000 0.375000 0.043072 0.011459 0.022918 0.002672
2.0000 0.400000 0.047064 0.010791 0.021581 0.002832
2.0000 0.425000 0.051174 0.010179 0.020358 0.003020
2.0000 0.450000 0.055405 0.009612 0.019225 0.003234
2.0000 0.475000 0.059727 0.009034 0.018067 0.003457
2.0000 0.500000 0.064160 0.008397 0.016793 0.003669
2.0000 0.525000 0.068669 0.007650 0.015299 0.003839
2.0000 0.550000 0.073254 0.006809 0.013618 0.003969
2.0000 0.575000 0.077865 0.005892 0.011784 0.004067
2.0000 0.600000 0.082519 0.004937 0.009873 0.004141
2.0000 0.625000 0.087210 0.003892 0.007785 0.004156
2.0000 0.650000 0.091941 0.002669 0.005339 0.004057
2.0000 0.675000 0.096695 0.001272 0.002545 0.003840
2.0000 0.700000 0.101435 0.000030 0.000059 0.003585
2.0000 0.725000 0.106161 0.000922 0.001844 0.003390
2.0000 0.750000 0.110879 0.001402 0.002803 0.003271
2.0000 0.775000 0.115598 0.001723 0.003446 0.003164
2.0000 0.800000 0.120281 0.002205 0.004409 0.002961
2.0000 0.825000 0.124925 0.002916 0.005831 0.002645
2.0000 0.850000 0.129537 0.003606 0.007211 0.002307
2.0000 0.875000 0.134100 0.004074 0.008149 0.002023
2.0000 0.900000 0.138636 0.004345 0.008691 0.001783
2.0000 0.925000 0.143137 0.004615 0.009229 0.001500
2.0000 0.950000 0.147593 0.004982 0.009965 0.001160
2.0000 0.975000 0.152014 0.005339 0.010678 0.000847
2.0000 1.000000 0.156374 0.005583 0.011166 0.000654
2.0000 1.025000 0.160669 0.005750 0.011501 0.000600
2.0000 1.050000 0.164908 0.005858 0.011717 0.000638
2.0000 1.075000 0.169089 0.005957 0.011914 0.000724
2.0000 1.100000 0.173239 0.006066 0.012132 0.000833
2.0000 1.125000 0.177306 0.006190 0.012379 0.000963
2.0000 1.150000 0.181295 0.006306 0.012613 0.001105
2.0000 1.175000 0.185211 0.006416 0.012832 0.001267
2.0000 1.200000 0.189075 0.006503 0.013007 0.001444
2.0000 1.225000 0.192871 0.006588 0.013177 0.001653
2.0000 1.250000 0.196610 0.006669 0.013339 0.001872
2.0000 1.275000 0.200272 0.006720 0.013441 0.002071
2.0000 1.300000 0.203860 0.006699 0.013398 0.002214
2.0000 1.325000 0.207390 0.006598 0.013195 0.002300
2.0000 1.350000 0.210874 0.006492 0.012984 0.002365
2.0000 1.375000 0.214300 0.006444 0.012889 0.002447
2.0000 1.400000 0.217663 0.006494 0.012989 0.002572
2.0000 1.425000 0.220956 0.006594 0.013189 0.002721
2.0000 1.450000 0.224184 0.006651 0.013302 0.002853
2.0000 1.475000 0.227373 0.006610 0.013221 0.002935
2.0000 1.500000 0.230516 0.006456 0.012913 0.002957
2.0000 1.525000 0.233601 0.006214 0.012428 0.002929
2.0000 1.550000 0.236663 0.005941 0.011881 0.002870
2.0000 1.575000 0.239670 0.005698 0.011396 0.002802
2.0000 1.600000 0.242589 0.005508 0.011016 0.002736
2.0000 1.625000 0.245437 0.005383 0.010766 0.002678
2.0000 1.650000 0.248210 0.005324 0.010647 0.002631
2.0000 1.675000 0.250900 0.005327 0.010655 0.002596
2.0000 1.700000 0.253527 0.005388 0.010775 0.002567
2.0000 1.725000 0.256122 0.005475 0.010950 0.002528
2.0000 1.750000 0.258647 0.005531 0.011062 0.002458
2.0000 1.775000 0.261118 0.005531 0.011063 0.002351
2.0000 1.800000 0.263537 0.005507 0.011014 0.002231
2.0000 1.825000 0.265902 0.005510 0.011021 0.002126
2.0000 1.850000 0.268222 0.005568 0.011136 0.002048
2.0000 1.875000 0.270491 0.005657 0.011313 0.001997
2.0000 1.900000 0.272681 0.005735 0.011471 0.001954
2.0000 1.925000 0.274828 0.005783 0.011565 0.001900
2.0000 1.950000 0.276945 0.005744 0.011489 0.001811
2.0000 1.975000 0.279012 0.005569 0.011138 0.001691
2.0000 2.000000 0.281015 0.005263 0.010527 0.001564
2.0000 2.025000 0.282948 0.004866 0.009732 0.001477
2.0000 2.050000 0.284816 0.004478 0.008955 0.001468
2.0000 2.075000 0.286644 0.004236 0.008472 0.001523
2.0000 2.100000 0.288415 0.004153 0.008306 0.001599
2.0000 2.125000 0.290124 0.004125 0.008251 0.001678
2.0000 2.150000 0.291791 0.004051 0.008103 0.001754
2.0000 2.175000 0.293427 0.003832 0.007663 0.001840
2.0000 2.200000 0.295027 0.003478 0.006955 0.001946
2.0000 2.225000 0.296605 0.003064 0.006128 0.002066
2.0000 2.250000 0.298145 0.002584 0.005167 0.002193
2.0000 2.275000 0.299658 0.002058 0.004116 0.002329
2.0000 2.300000 0.301147 0.001586 0.003172 0.002470
2.0000 2.325000 0.302636 0.001266 0.002532 0.002605
2.0000 2.350000 0.304097 0.001132 0.002264 0.002722
2.0000 2.375000 0.305537 0.001150 0.002299 0.002812
2.0000 2.400000 0.306954 0.001206 0.002412 0.002876
2.0000 2.425000 0.308356 0.001203 0.002406 0.002913
2.0000 2.450000 0.309745 0.001134 0.002268 0.002927
2.0000 2.475000 0.311133 0.001033 0.002065 0.002923
2.0000 2.500000 0.312528 0.000952 0.001905 0.002898
3.0000 0.025000 0.005737 0.021743 0.065229 0.000129
3.0000 0.050000 0.011560 0.020550 0.061650 0.000230
3.0000 0.075000 0.017466 0.019765 0.059294 0.000305
3.0000 0.100000 0.023503 0.019403 0.058209 0.000367
3.0000 0.125000 0.029679 0.019336 0.058007 0.000423
3.0000 0.150000 0.035988 0.019289 0.057866 0.000463
3.0000 0.175000 0.042409 0.019039 0.057118 0.000474
3.0000 0.200000 0.048970 0.018446 0.055337 0.000450
3.0000 0.225000 0.055689 0.017540 0.052619 0.000390
3.0000 0.250000 0.062566 0.016497 0.049490 0.000294
3.0000 0.275000 0.069597 0.015512 0.046535 0.000175
3.0000 0.300000 0.076776 0.014759 0.044278 0.000086
3.0000 0.325000 0.084093 0.014316 0.042949 0.000241
3.0000 0.350000 0.091564 0.014108 0.042325 0.000493
3.0000 0.375000 0.099190 0.014014 0.042041 0.000787
3.0000 0.400000 0.106974 0.013796 0.041389 0.001095
3.0000 0.425000 0.114922 0.013337 0.040012 0.001391
3.0000 0.450000 0.123055 0.012631 0.037892 0.001667
3.0000 0.475000 0.131335 0.011728 0.035184 0.001900
3.0000 0.500000 0.139786 0.010816 0.032447 0.002091
3.0000 0.525000 0.148374 0.010064 0.030191 0.002282
3.0000 0.550000 0.157102 0.009391 0.028172 0.002473
3.0000 0.575000 0.165953 0.008691 0.026073 0.002636
3.0000 0.600000 0.174944 0.007984 0.023951 0.002760
3.0000 0.625000 0.184069 0.007486 0.022458 0.002847
3.0000 0.650000 0.193299 0.007417 0.022252 0.002923
3.0000 0.675000 0.202632 0.007545 0.022635 0.002993
3.0000 0.700000 0.212076 0.007113 0.021340 0.003046
3.0000 0.725000 0.221622 0.005912 0.017737 0.003031
3.0000 0.750000 0.231264 0.004440 0.013319 0.002960
3.0000 0.775000 0.241000 0.003259 0.009776 0.002885
3.0000 0.800000 0.250814 0.002634 0.007902 0.002924
3.0000 0.825000 0.260687 0.002505 0.007516 0.003085
3.0000 0.850000 0.270595 0.002334 0.007001 0.003208
3.0000 0.875000 0.280536 0.001833 0.005499 0.003170
3.0000 0.900000 0.290528 0.001333 0.003998 0.003029
3.0000 0.925000 0.300570 0.001166 0.003497 0.002939
3.0000 0.950000 0.310656 0.001071 0.003212 0.002967
3.0000 0.975000 0.320764 0.000766 0.002297 0.003029
3.0000 1.000000 0.330899 0.000300 0.000901 0.003051
3.0000 1.025000 0.341047 0.000036 0.000108 0.003020
3.0000 1.050000 0.351210 0.000316 0.000948 0.003027
3.0000 1.075000 0.361380 0.000416 0.001247 0.003113
3.0000 1.100000 0.371550 0.000802 0.002407 0.003115
3.0000 1.125000 0.381739 0.001350 0.004049 0.003000
3.0000 1.150000 0.391930 0.001590 0.004769 0.002899
3.0000 1.175000 0.402118 0.001890 0.005670 0.002810
3.0000 1.200000 0.412286 0.002603 0.007809 0.002672
3.0000 1.225000 0.422440 0.003167 0.009500 0.002529
3.0000 1.250000 0.432577 0.003443 0.010330 0.002420
3.0000 1.275000 0.442672 0.003829 0.011487 0.002312
3.0000 1.300000 0.452733 0.004406 0.013219 0.002181
3.0000 1.325000 0.462755 0.004892 0.014677 0.002054
3.0000 1.350000 0.472715 0.005021 0.015063 0.001967
3.0000 1.375000 0.482610 0.004811 0.014434 0.001909
3.0000 1.400000 0.492434 0.004501 0.013504 0.001849
3.0000 1.425000 0.502214 0.004056 0.012168 0.001757
3.0000 1.450000 0.511956 0.003531 0.010592 0.001665
3.0000 1.475000 0.521651 0.003087 0.009261 0.001579
3.0000 1.500000 0.531322 0.002885 0.008656 0.001500
3.0000 1.525000 0.540939 0.002881 0.008643 0.001429
3.0000 1.550000 0.550515 0.002947 0.008841 0.001360
3.0000 1.575000 0.560054 0.003014 0.009042 0.001291
3.0000 1.600000 0.569565 0.003075 0.009226 0.001223
3.0000 1.625000 0.579045 0.003161 0.009483 0.001157
3.0000 1.650000 0.588499 0.003283 0.009849 0.001091
3.0000 1.675000 0.597908 0.003388 0.010163 0.001014
3.0000 1.700000 0.607282 0.003389 0.010167 0.000908
3.0000 1.725000 0.616627 0.003272 0.009815 0.000769
3.0000 1.750000 0.625914 0.003143 0.009429 0.000625
3.0000 1.775000 0.635147 0.003118 0.009354 0.000512
3.0000 1.800000 0.644363 0.003175 0.009526 0.000426
3.0000 1.825000 0.653552 0.003220 0.009661 0.000337
3.0000 1.850000 0.662725 0.003207 0.009620 0.000239
3.0000 1.875000 0.671871 0.003121 0.009364 0.000143
3.0000 1.900000 0.680973 0.002961 0.008883 0.000065
3.0000 1.925000 0.690030 0.002764 0.008293 0.000102
3.0000 1.950000 0.699047 0.002578 0.007734 0.000209
3.0000 1.975000 0.708020 0.002393 0.007180 0.000337
3.0000 2.000000 0.716971 0.002161 0.006483 0.000482
3.0000 2.025000 0.725906 0.001842 0.005525 0.000634
3.0000 2.050000 0.734801 0.001488 0.004464 0.000758
3.0000 2.075000 0.743652 0.001170 0.003509 0.000825
3.0000 2.100000 0.752480 0.000951 0.002854 0.000838
3.0000 2.125000 0.761284 0.000842 0.002525 0.000808
3.0000 2.150000 0.770042 0.000749 0.002248 0.000769
3.0000 2.175000 0.778798 0.000889 0.002666 0.000729
3.0000 2.200000 0.787572 0.000954 0.002862 0.000722
3.0000 2.225000 0.796328 0.000883 0.002648 0.000753
3.0000 2.250000 0.805066 0.000703 0.002108 0.000819
3.0000 2.275000 0.813777 0.000403 0.001208 0.000920
3.0000 2.300000 0.822474 0.000025 0.000074 0.001035
3.0000 2.325000 0.831170 0.000321 0.000964 0.001130
3.0000 2.350000 0.839848 0.000548 0.001645 0.001182
3.0000 2.375000 0.848531 0.000652 0.001957 0.001188
3.0000 2.400000 0.857227 0.000701 0.002102 0.001168
3.0000 2.425000 0.865948 0.000727 0.002180 0.001137
3.0000 2.450000 0.874671 0.000759 0.002277 0.001114
3.0000 2.475000 0.883397 0.000823 0.002469 0.001112
3.0000 2.500000 0.892151 0.000890 0.002671 0.001130
