# alpha time_ps distance_A F_inter_unscaled F_inter_scaled F_intra
2.0000 0.250000 0.038803 0.018766 0.037531 0.000916
3.0000 0.005000 0.000174 0.023257 0.069770 0.000115
3.0000 0.010000 0.000356 0.023466 0.070399 0.000233
3.0000 0.015000 0.000549 0.023649 0.070948 0.000354
3.0000 0.020000 0.000753 0.023786 0.071358 0.000481
3.0000 0.025000 0.000967 0.023881 0.071644 0.000613
3.0000 0.030000 0.001189 0.023930 0.071791 0.000749
3.0000 0.035000 0.001419 0.023929 0.071788 0.000887
3.0000 0.040000 0.001656 0.023870 0.071611 0.001026
3.0000 0.045000 0.001909 0.023753 0.071258 0.001164
3.0000 0.050000 0.002171 0.023576 0.070727 0.001301
3.0000 0.055000 0.002442 0.023341 0.070024 0.001434
3.0000 0.060000 0.002725 0.023051 0.069152 0.001563
3.0000 0.065000 0.003021 0.022711 0.068133 0.001686
3.0000 0.070000 0.003328 0.022328 0.066985 0.001802
3.0000 0.075000 0.003641 0.021911 0.065733 0.001912
3.0000 0.080000 0.003965 0.021474 0.064421 0.002024
3.0000 0.085000 0.004300 0.021018 0.063054 0.002129
3.0000 0.090000 0.004646 0.020557 0.061671 0.002228
3.0000 0.095000 0.005004 0.020098 0.060293 0.002321
3.0000 0.100000 0.005370 0.019647 0.058941 0.002410
3.0000 0.105000 0.005750 0.019218 0.057654 0.002497
3.0000 0.110000 0.006142 0.018801 0.056404 0.002578
3.0000 0.115000 0.006544 0.018414 0.055241 0.002659
3.0000 0.120000 0.006956 0.018059 0.054178 0.002738
3.0000 0.125000 0.007380 0.017739 0.053217 0.002818
3.0000 0.130000 0.007816 0.017461 0.052383 0.002900
3.0000 0.135000 0.008265 0.017210 0.051631 0.002978
3.0000 0.140000 0.008725 0.016971 0.050913 0.003052
3.0000 0.145000 0.009195 0.016763 0.050288 0.003127
3.0000 0.150000 0.009672 0.016580 0.049741 0.003209
3.0000 0.155000 0.010159 0.016422 0.049267 0.003289
3.0000 0.160000 0.010656 0.016281 0.048842 0.003368
3.0000 0.165000 0.011161 0.016149 0.048448 0.003443
3.0000 0.170000 0.011672 0.016022 0.048067 0.003513
3.0000 0.175000 0.012193 0.015900 0.047700 0.003580
3.0000 0.180000 0.012725 0.015779 0.047338 0.003642
3.0000 0.185000 0.013270 0.015659 0.046978 0.003702
3.0000 0.190000 0.013821 0.015540 0.046619 0.003759
3.0000 0.195000 0.014391 0.015419 0.046258 0.003812
3.0000 0.200000 0.014970 0.015293 0.045879 0.003864
3.0000 0.205000 0.015555 0.015165 0.045494 0.003914
3.0000 0.210000 0.016150 0.015037 0.045112 0.003962
3.0000 0.215000 0.016755 0.014911 0.044734 0.004011
3.0000 0.220000 0.017373 0.014787 0.044360 0.004059
3.0000 0.225000 0.017997 0.014660 0.043981 0.004106
3.0000 0.230000 0.018632 0.014536 0.043608 0.004156
3.0000 0.235000 0.019279 0.014413 0.043238 0.004210
3.0000 0.240000 0.019940 0.014288 0.042863 0.004265
3.0000 0.245000 0.020609 0.014156 0.042469 0.004322
3.0000 0.250000 0.021291 0.014018 0.042054 0.004380
