# alpha time_ps distance_A F_inter_unscaled F_inter_scaled F_intra
1.0000 0.005000 0.000394 0.023295 0.023295 0.000066
1.0000 0.010000 0.000790 0.023558 0.023558 0.000134
1.0000 0.015000 0.001194 0.023810 0.023810 0.000205
1.0000 0.020000 0.001607 0.024048 0.024048 0.000279
1.0000 0.025000 0.002028 0.024267 0.024267 0.000356
1.0000 0.030000 0.002459 0.024462 0.024462 0.000436
1.0000 0.035000 0.002891 0.024635 0.024635 0.000518
1.0000 0.040000 0.003330 0.024778 0.024778 0.000602
1.0000 0.045000 0.003777 0.024886 0.024886 0.000687
1.0000 0.050000 0.004230 0.024960 0.024960 0.000773
1.0000 0.055000 0.004691 0.024998 0.024998 0.000859
1.0000 0.060000 0.005157 0.025001 0.025001 0.000943
1.0000 0.065000 0.005628 0.024968 0.024968 0.001028
1.0000 0.070000 0.006106 0.024897 0.024897 0.001111
1.0000 0.075000 0.006592 0.024786 0.024786 0.001191
1.0000 0.080000 0.007083 0.024636 0.024636 0.001268
1.0000 0.085000 0.007583 0.024444 0.024444 0.001342
1.0000 0.090000 0.008092 0.024216 0.024216 0.001414
1.0000 0.095000 0.008611 0.023951 0.023951 0.001482
1.0000 0.100000 0.009135 0.023654 0.023654 0.001545
1.0000 0.105000 0.009663 0.023335 0.023335 0.001613
1.0000 0.110000 0.010197 0.022990 0.022990 0.001678
1.0000 0.115000 0.010731 0.022624 0.022624 0.001738
1.0000 0.120000 0.011264 0.022236 0.022236 0.001794
1.0000 0.125000 0.011801 0.021831 0.021831 0.001846
1.0000 0.130000 0.012344 0.021411 0.021411 0.001894
1.0000 0.135000 0.012886 0.020980 0.020980 0.001939
1.0000 0.140000 0.013431 0.020548 0.020548 0.001981
1.0000 0.145000 0.013979 0.020125 0.020125 0.002020
1.0000 0.150000 0.014527 0.019716 0.019716 0.002059
1.0000 0.155000 0.015076 0.019321 0.019321 0.002096
1.0000 0.160000 0.015627 0.018948 0.018948 0.002134
1.0000 0.165000 0.016178 0.018592 0.018592 0.002171
1.0000 0.170000 0.016731 0.018259 0.018259 0.002209
1.0000 0.175000 0.017291 0.017941 0.017941 0.002244
1.0000 0.180000 0.017858 0.017642 0.017642 0.002277
1.0000 0.185000 0.018434 0.017367 0.017367 0.002311
1.0000 0.190000 0.019019 0.017113 0.017113 0.002349
1.0000 0.195000 0.019606 0.016859 0.016859 0.002387
1.0000 0.200000 0.020197 0.016615 0.016615 0.002422
1.0000 0.205000 0.020791 0.016379 0.016379 0.002458
1.0000 0.210000 0.021389 0.016150 0.016150 0.002495
1.0000 0.215000 0.021991 0.015926 0.015926 0.002533
1.0000 0.220000 0.022601 0.015706 0.015706 0.002571
1.0000 0.225000 0.023216 0.015486 0.015486 0.002610
1.0000 0.230000 0.023839 0.015267 0.015267 0.002648
1.0000 0.235000 0.024468 0.015051 0.015051 0.002685
1.0000 0.240000 0.025094 0.014838 0.014838 0.002722
1.0000 0.245000 0.025721 0.014627 0.014627 0.002758
1.0000 0.250000 0.026356 0.014416 0.014416 0.002791
2.0000 0.005000 0.000630 0.022476 0.044953 0.000025
2.0000 0.010000 0.001269 0.021948 0.043895 0.000050
2.0000 0.015000 0.001920 0.021440 0.042879 0.000075
2.0000 0.020000 0.002579 0.020963 0.041925 0.000100
2.0000 0.025000 0.003244 0.020521 0.041042 0.000123
2.0000 0.030000 0.003916 0.020123 0.040247 0.000146
2.0000 0.035000 0.004600 0.019771 0.039542 0.000169
2.0000 0.040000 0.005290 0.019457 0.038914 0.000193
2.0000 0.045000 0.005980 0.019185 0.038369 0.000217
2.0000 0.050000 0.006674 0.018953 0.037905 0.000242
2.0000 0.055000 0.007371 0.018761 0.037522 0.000267
2.0000 0.060000 0.008075 0.018603 0.037207 0.000292
2.0000 0.065000 0.008782 0.018479 0.036957 0.000318
2.0000 0.070000 0.009497 0.018385 0.036769 0.000344
2.0000 0.075000 0.010220 0.018320 0.036641 0.000370
2.0000 0.080000 0.010949 0.018285 0.036569 0.000397
2.0000 0.085000 0.011679 0.018276 0.036553 0.000425
2.0000 0.090000 0.012411 0.018295 0.036590 0.000453
2.0000 0.095000 0.013145 0.018342 0.036684 0.000482
2.0000 0.100000 0.013885 0.018416 0.036831 0.000511
2.0000 0.105000 0.014627 0.018518 0.037036 0.000539
2.0000 0.110000 0.015370 0.018657 0.037314 0.000568
2.0000 0.115000 0.016119 0.018813 0.037626 0.000596
2.0000 0.120000 0.016875 0.018995 0.037990 0.000624
2.0000 0.125000 0.017636 0.019199 0.038399 0.000653
2.0000 0.130000 0.018404 0.019422 0.038845 0.000682
2.0000 0.135000 0.019176 0.019661 0.039322 0.000712
2.0000 0.140000 0.019951 0.019912 0.039824 0.000742
2.0000 0.145000 0.020735 0.020170 0.040340 0.000772
2.0000 0.150000 0.021526 0.020431 0.040862 0.000802
2.0000 0.155000 0.022324 0.020686 0.041372 0.000830
2.0000 0.160000 0.023131 0.020929 0.041858 0.000856
2.0000 0.165000 0.023937 0.021155 0.042310 0.000880
2.0000 0.170000 0.024751 0.021360 0.042720 0.000901
2.0000 0.175000 0.025573 0.021534 0.043069 0.000919
2.0000 0.180000 0.026404 0.021670 0.043341 0.000934
2.0000 0.185000 0.027241 0.021766 0.043531 0.000948
2.0000 0.190000 0.028088 0.021811 0.043623 0.000958
2.0000 0.195000 0.028943 0.021805 0.043610 0.000966
2.0000 0.200000 0.029805 0.021746 0.043492 0.000970
2.0000 0.205000 0.030677 0.021633 0.043266 0.000972
2.0000 0.210000 0.031556 0.021468 0.042937 0.000970
2.0000 0.215000 0.032443 0.021254 0.042507 0.000967
2.0000 0.220000 0.033332 0.020992 0.041985 0.000961
2.0000 0.225000 0.034231 0.020688 0.041376 0.000955
2.0000 0.230000 0.035136 0.020346 0.040692 0.000948
2.0000 0.235000 0.036044 0.019977 0.039954 0.000940
2.0000 0.240000 0.036960 0.019586 0.039171 0.000932
2.0000 0.245000 0.037881 0.019179 0.038358 0.000924
