# alpha time_ps distance_A F_inter_unscaled F_inter_scaled F_intra
0.0000 0.005000 0.000118 0.021468 0.000000 0.024051
0.0000 0.010000 0.000236 0.022226 0.000000 0.023634
0.0000 0.015000 0.000354 0.022981 0.000000 0.023215
0.0000 0.020000 0.000472 0.023732 0.000000 0.022815
0.0000 0.025000 0.000590 0.024483 0.000000 0.022424
0.0000 0.030000 0.000708 0.025213 0.000000 0.022022
0.0000 0.035000 0.000826 0.025915 0.000000 0.021639
0.0000 0.040000 0.000944 0.026601 0.000000 0.021260
0.0000 0.045000 0.001063 0.027288 0.000000 0.020880
0.0000 0.050000 0.001181 0.027944 0.000000 0.020508
0.0000 0.055000 0.001299 0.028556 0.000000 0.020089
0.0000 0.060000 0.001418 0.029141 0.000000 0.019699
0.0000 0.065000 0.001536 0.029723 0.000000 0.019320
0.0000 0.070000 0.001655 0.030272 0.000000 0.018928
0.0000 0.075000 0.001774 0.030785 0.000000 0.018544
0.0000 0.080000 0.001892 0.031268 0.000000 0.018163
0.0000 0.085000 0.002011 0.031721 0.000000 0.017782
0.0000 0.090000 0.002130 0.032145 0.000000 0.017420
0.0000 0.095000 0.002249 0.032531 0.000000 0.017056
0.0000 0.100000 0.002368 0.032910 0.000000 0.016726
0.0000 0.105000 0.002487 0.033250 0.000000 0.016370
0.0000 0.110000 0.002606 0.033570 0.000000 0.016035
0.0000 0.115000 0.002726 0.033857 0.000000 0.015723
0.0000 0.120000 0.002845 0.034086 0.000000 0.015424
0.0000 0.125000 0.002964 0.034316 0.000000 0.015117
0.0000 0.130000 0.003084 0.034490 0.000000 0.014825
0.0000 0.135000 0.003203 0.034610 0.000000 0.014555
0.0000 0.140000 0.003323 0.034679 0.000000 0.014292
0.0000 0.145000 0.003442 0.034716 0.000000 0.014027
0.0000 0.150000 0.003562 0.034701 0.000000 0.013766
0.0000 0.155000 0.003682 0.034653 0.000000 0.013521
0.0000 0.160000 0.003801 0.034582 0.000000 0.013301
0.0000 0.165000 0.003921 0.034473 0.000000 0.013091
0.0000 0.170000 0.004041 0.034338 0.000000 0.012897
0.0000 0.175000 0.004162 0.034188 0.000000 0.012709
0.0000 0.180000 0.004282 0.034026 0.000000 0.012513
0.0000 0.185000 0.004402 0.033851 0.000000 0.012321
0.0000 0.190000 0.004523 0.033659 0.000000 0.012135
0.0000 0.195000 0.004643 0.033441 0.000000 0.011953
0.0000 0.200000 0.004763 0.033215 0.000000 0.011776
0.0000 0.205000 0.004883 0.032970 0.000000 0.011578
0.0000 0.210000 0.005004 0.032725 0.000000 0.011376
0.0000 0.215000 0.005124 0.032514 0.000000 0.011176
0.0000 0.220000 0.005245 0.032278 0.000000 0.010990
0.0000 0.225000 0.005365 0.032045 0.000000 0.010812
0.0000 0.230000 0.005485 0.031814 0.000000 0.010653
0.0000 0.235000 0.005605 0.031559 0.000000 0.010500
0.0000 0.240000 0.005725 0.031313 0.000000 0.010369
0.0000 0.245000 0.005845 0.031055 0.000000 0.010232
0.0000 0.250000 0.005965 0.030807 0.000000 0.010089
1.0000 0.005000 0.000078 0.020766 0.020766 0.024366
1.0000 0.010000 0.000155 0.020816 0.020816 0.024253
1.0000 0.015000 0.000233 0.020827 0.020827 0.024128
1.0000 0.020000 0.000310 0.020836 0.020836 0.024018
1.0000 0.025000 0.000388 0.020833 0.020833 0.023877
1.0000 0.030000 0.000465 0.020822 0.020822 0.023713
1.0000 0.035000 0.000542 0.020832 0.020832 0.023565
