# alpha time_ps distance_A F_inter_unscaled F_inter_scaled F_intra
1.0000 0.040000 0.000619 0.020827 0.020827 0.023410
1.0000 0.045000 0.000696 0.020815 0.020815 0.023258
1.0000 0.050000 0.000774 0.020787 0.020787 0.023098
1.0000 0.055000 0.000851 0.020735 0.020735 0.022926
1.0000 0.060000 0.000928 0.020672 0.020672 0.022751
1.0000 0.065000 0.001006 0.020624 0.020624 0.022586
1.0000 0.070000 0.001083 0.020567 0.020567 0.022411
1.0000 0.075000 0.001160 0.020501 0.020501 0.022322
1.0000 0.080000 0.001238 0.020435 0.020435 0.022250
1.0000 0.085000 0.001315 0.020386 0.020386 0.022147
1.0000 0.090000 0.001392 0.020372 0.020372 0.021977
1.0000 0.095000 0.001470 0.020333 0.020333 0.021789
1.0000 0.100000 0.001547 0.020289 0.020289 0.021598
1.0000 0.105000 0.001624 0.020207 0.020207 0.021440
1.0000 0.110000 0.001700 0.020127 0.020127 0.021290
1.0000 0.115000 0.001777 0.020043 0.020043 0.021131
1.0000 0.120000 0.001854 0.019956 0.019956 0.020965
1.0000 0.125000 0.001930 0.019847 0.019847 0.020810
1.0000 0.130000 0.002007 0.019738 0.019738 0.020643
1.0000 0.135000 0.002083 0.019632 0.019632 0.020461
1.0000 0.140000 0.002160 0.019522 0.019522 0.020271
1.0000 0.145000 0.002236 0.019386 0.019386 0.020069
1.0000 0.150000 0.002312 0.019243 0.019243 0.019853
1.0000 0.155000 0.002388 0.019094 0.019094 0.019637
1.0000 0.160000 0.002464 0.018954 0.018954 0.019403
1.0000 0.165000 0.002540 0.018807 0.018807 0.019159
1.0000 0.170000 0.002617 0.018660 0.018660 0.018914
1.0000 0.175000 0.002693 0.018518 0.018518 0.018667
1.0000 0.180000 0.002768 0.018354 0.018354 0.018426
1.0000 0.185000 0.002844 0.018169 0.018169 0.018199
1.0000 0.190000 0.002920 0.017958 0.017958 0.018000
1.0000 0.195000 0.002996 0.017738 0.017738 0.017816
1.0000 0.200000 0.003071 0.017509 0.017509 0.017627
1.0000 0.205000 0.003147 0.017277 0.017277 0.017435
1.0000 0.210000 0.003223 0.017050 0.017050 0.017231
1.0000 0.215000 0.003298 0.016861 0.016861 0.016996
1.0000 0.220000 0.003374 0.016685 0.016685 0.016753
1.0000 0.225000 0.003449 0.016490 0.016490 0.016504
1.0000 0.230000 0.003525 0.016274 0.016274 0.016233
1.0000 0.235000 0.003601 0.016028 0.016028 0.015986
1.0000 0.240000 0.003676 0.015746 0.015746 0.015766
1.0000 0.245000 0.003752 0.015439 0.015439 0.015541
1.0000 0.250000 0.003827 0.015128 0.015128 0.015326
